year2,sic1,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,d_flag
1987,60,346814,467965,6557717,6442528,65357,14.1,52478,11.3,1214030,451303,762727,7,18.8,983653,381067,602586,5.9,15.3,230377,3.5,30.6,32353,32549,167040,0
1987,70,1593405,1779207,25579979,25158908,260467,14.9,184510,10.6,4782041,1860936,2921105,7.4,19,3939899,1541639,2398260,6.1,15.7,842142,3.3,31.4,122044,122830,829790,0
1988,07,61524,62640,466805,448894,10750,17.5,7775,12.7,130822,50145,80677,11.2,29.1,95000,37712,57288,8.4,21.2,35822,7.9,42.4,5310,5310,25106,0
1988,10,22228,27640,651148,655736,3517,12.5,4282,15.3,129607,42645,86962,6.5,19.8,138783,55637,83146,8.5,21.2,-9176,-1.4,39.6,2602,2602,16286,0
1988,15,479117,485178,4887340,4833280,81704,17,70786,14.7,1315171,428656,886515,8.9,27.2,1207051,394562,812489,8.2,25,108120,2.2,50,52322,52322,275553,0
1988,20,293370,349815,19047118,18784887,38337,11,33540,9.6,2696186,850584,1845602,4.5,14.4,2171723,780128,1391595,4.2,11.6,524463,2.8,23.2,22858,22858,234291,0
1988,40,151344,207596,5258963,5142690,29626,14.3,27209,13.2,910591,324288,586303,6.3,17.7,678046,261689,416357,5.1,13.2,232545,4.5,26.4,17125,17128,119489,0
1988,50,336832,441324,5961745,5882348,48840,11.1,43899,10,1111706,374945,736761,6.4,18.9,952912,374430,578482,6.4,16.2,158794,2.7,32.4,26557,26559,153673,0
1988,52,940680,1364163,18530977,18311911,187821,13.8,178632,13.1,3867515,1813344,2054171,9.9,21.1,3429382,1466531,1962851,8,18.7,438133,2.4,37.4,115149,115153,691798,0
1988,60,346701,482886,6617389,6561381,70147,14.8,52054,11,1267312,558094,709218,8.5,19.3,1155296,408313,746983,6.2,17.6,112016,1.7,35.2,32088,32088,171285,0
1988,70,1602672,1799975,25993151,25364110,230347,12.9,194192,10.9,5119071,1881248,3237823,7.4,20.2,3860991,1471957,2389034,5.8,15.2,1258080,5,30.4,133923,133932,736730,0
1989,07,64146,65339,509415,488451,11103,17.4,8379,13.1,147817,53461,94356,10.9,30.3,105889,40753,65136,8.3,21.7,41928,8.6,43.4,5128,5136,23388,0
1989,10,21414,26899,634264,642581,3112,11.4,3872,14.2,116452,45971,70481,7.2,18.1,133085,54329,78756,8.5,20.7,-16633,-2.6,36.2,2514,2523,21338.5,0
1989,15,482595,488621,4977026,4930523,78809,16.2,74595,15.3,1322354,404974,917380,8.2,26.8,1229348,430085,799263,8.7,24.9,93006,1.9,49.8,49721,49743,272043,0
1989,20,293253,351590,19400792,19241568,37337,10.6,36351,10.4,2554087,766398,1787689,4,13.3,2235640,780039,1455601,4.1,11.6,318447,1.7,23.2,23812,24008,339358.5,0
1989,40,152617,212464,5414430,5342671,30488,14.5,25969,12.4,957087,330861,626226,6.2,17.9,813568,301074,512494,5.6,15.2,143519,2.7,30.4,16150,16361,127582.5,0
1989,50,338938,446829,6147922,6060684,49360,11.1,44329,10,1101426,384648,716778,6.3,18.2,926949,385482,541467,6.4,15.3,174477,2.9,30.6,25790,26024,164498,0
1989,52,931454,1374282,19258554,18936628,180545,13.2,173128,12.6,3907762,1884264,2023498,10,20.6,3263909,1330600,1933309,7,17.2,643853,3.4,34.4,109576,111535,722161.5,0
1989,60,347149,484657,6760947,6681765,60893,12.6,58720,12.1,1236122,489781,746341,7.3,18.5,1077759,421237,656522,6.3,16.1,158363,2.4,32.2,31264,31448,190930,0
1989,70,1616946,1829496,27312317,26656556,226901,12.5,197942,10.9,5232644,1887130,3345514,7.1,19.6,3921123,1540798,2380325,5.8,14.7,1311521,4.9,29.4,128490,129279,853317,0
1990,07,69277,70478,543660,520967,12697,18.7,6889,10.2,155749,63040,92709,12.1,29.9,110363,34164,76199,6.6,21.2,45386,8.7,42.4,4840,4853,23380,0
1990,10,21190,26617,646434,640038,3142,11.7,3277,12.3,114090,35739,78351,5.6,17.8,101298,38356,62942,6,15.8,12792,2,31.6,2162,2180,18297,0
1990,15,497414,503382,5132315,5040427,86073,17.4,65445,13.2,1382635,447930,934705,8.9,27.4,1198859,373869,824990,7.4,23.8,183776,3.6,47.6,48872,48901,281082,0
1990,20,297922,357220,19145088,19272678,38689,10.9,31395,8.9,2062371,634722,1427649,3.3,10.7,2317551,643412,1674139,3.3,12,-255180,-1.3,21.4,22774,22874,286742,0
1990,40,156765,217538,5562196,5486928,30225,14.1,23842,11.1,875438,284806,590632,5.2,16,724903,254441,470462,4.6,13.2,150535,2.8,26.4,15468,15540,113617,0
1990,50,346333,457378,6325407,6232020,51655,11.4,39086,8.6,1069221,385017,684204,6.2,17.2,882447,311461,570986,5,14.2,186774,3,28.4,24533,24678,153099,0
1990,52,937897,1390311,19634690,19431062,179612,13,157272,11.4,3617120,1704789,1912331,8.8,18.6,3209863,1250006,1959857,6.4,16.5,407257,2.1,33,104045,105107,706826,0
1990,60,353855,495468,6875645,6806030,61059,12.5,47526,9.7,1202073,474110,727963,7,17.7,1062844,367027,695817,5.4,15.6,139229,2.1,31.2,28693,28936,164152,0
1990,70,1665476,1889775,28687855,27988060,240876,13,168228,9,5166217,1827763,3338454,6.5,18.5,3766627,1318259,2448368,4.7,13.5,1399590,5,27,119760,120216,774504,0
1991,07,72252,73495,596080,567860,10875,15.1,7774,10.8,181879,49767,132112,8.8,32,125438,36536,88902,6.4,22.1,56441,9.9,44.2,4907,4910,23340,0
1991,10,21325,26743,647482,647606,3174,11.9,3153,11.8,108396,42349,66047,6.5,16.7,108644,39205,69439,6.1,16.8,-248,-0.1,33.4,1959,1962,16805,0
1991,15,491820,497821,4592824,4861914,71653,14.3,75820,15.1,987601,328650,658951,6.8,20.3,1525781,420012,1105769,8.6,31.4,-538180,-11.1,40.6,50294,50332,283649,0
1991,20,298096,357630,18291276,18700101,34129,9.5,33770,9.4,1820945,571672,1249273,3.1,9.7,2638595,744948,1893647,4,14.1,-817650,-4.4,19.4,23188,23405,315197,0
1991,40,159010,226271,5583202,5566325,34810,15.7,25938,11.7,961517,410741,550776,7.4,17.3,927763,298727,629036,5.4,16.7,33754,0.6,33.4,15357,15572,123058,0
1991,50,351836,464776,6222716,6272822,50349,10.9,43028,9.3,951159,364419,586740,5.8,15.2,1051371,357667,693704,5.7,16.8,-100212,-1.6,30.4,24945,25253,165803,0
